(APIServer pid=1) INFO 08-05 16:40:52 [metrics.py:103] KV Transfer metrics: Num successful transfers=2224, Avg xfer time (ms)=17.824, P90 xfer time (ms)=34.524, Avg post time (ms)=3.508, P90 post time (ms)=5.141, Avg MB per transfer=39.874, Throughput (MB/s)=2237.066, Avg number of descriptors=1275.7
(APIServer pid=1) INFO 08-05 16:41:02 [metrics.py:103] KV Transfer metrics: Num successful transfers=176, Avg xfer time (ms)=11.849, P90 xfer time (ms)=21.902, Avg post time (ms)=3.494, P90 post time (ms)=4.954, Avg MB per transfer=40.0, Throughput (MB/s)=3375.785, Avg number of descriptors=1280.0
(APIServer pid=1) INFO 08-05 16:41:22 [metrics.py:103] KV Transfer metrics: Num successful transfers=632, Avg xfer time (ms)=15.746, P90 xfer time (ms)=26.789, Avg post time (ms)=6.871, P90 post time (ms)=10.435, Avg MB per transfer=80.0, Throughput (MB/s)=5080.717, Avg number of descriptors=2560.0
(APIServer pid=1) INFO 08-05 16:41:32 [metrics.py:103] KV Transfer metrics: Num successful transfers=1248, Avg xfer time (ms)=16.48, P90 xfer time (ms)=27.332, Avg post time (ms)=7.076, P90 post time (ms)=10.565, Avg MB per transfer=80.0, Throughput (MB/s)=4854.398, Avg number of descriptors=2560.0
(APIServer pid=1) INFO 08-05 16:41:42 [metrics.py:103] KV Transfer metrics: Num successful transfers=520, Avg xfer time (ms)=16.338, P90 xfer time (ms)=27.119, Avg post time (ms)=7.045, P90 post time (ms)=10.537, Avg MB per transfer=80.0, Throughput (MB/s)=4896.491, Avg number of descriptors=2560.0
(APIServer pid=1) INFO 08-05 16:42:02 [metrics.py:103] KV Transfer metrics: Num successful transfers=2208, Avg xfer time (ms)=11.917, P90 xfer time (ms)=22.885, Avg post time (ms)=3.312, P90 post time (ms)=4.798, Avg MB per transfer=39.493, Throughput (MB/s)=3314.048, Avg number of descriptors=1262.6
(APIServer pid=1) INFO 08-05 16:42:12 [metrics.py:103] KV Transfer metrics: Num successful transfers=184, Avg xfer time (ms)=10.662, P90 xfer time (ms)=19.774, Avg post time (ms)=3.451, P90 post time (ms)=5.001, Avg MB per transfer=40.0, Throughput (MB/s)=3751.594, Avg number of descriptors=1280.0
(APIServer pid=1) INFO 08-05 16:42:32 [metrics.py:103] KV Transfer metrics: Num successful transfers=608, Avg xfer time (ms)=15.851, P90 xfer time (ms)=27.477, Avg post time (ms)=7.357, P90 post time (ms)=10.075, Avg MB per transfer=80.0, Throughput (MB/s)=5046.953, Avg number of descriptors=2560.0
(APIServer pid=1) INFO 08-05 16:42:42 [metrics.py:103] KV Transfer metrics: Num successful transfers=1256, Avg xfer time (ms)=15.983, P90 xfer time (ms)=27.32, Avg post time (ms)=7.302, P90 post time (ms)=9.999, Avg MB per transfer=79.268, Throughput (MB/s)=4959.377, Avg number of descriptors=2536.1
(APIServer pid=1) INFO 08-05 16:42:52 [metrics.py:103] KV Transfer metrics: Num successful transfers=536, Avg xfer time (ms)=16.12, P90 xfer time (ms)=27.742, Avg post time (ms)=7.135, P90 post time (ms)=9.951, Avg MB per transfer=77.761, Throughput (MB/s)=4824.033, Avg number of descriptors=2486.0
(APIServer pid=1) INFO 08-05 16:43:22 [metrics.py:103] KV Transfer metrics: Num successful transfers=496, Avg xfer time (ms)=18.016, P90 xfer time (ms)=27.636, Avg post time (ms)=11.931, P90 post time (ms)=14.194, Avg MB per transfer=160.0, Throughput (MB/s)=8881.064, Avg number of descriptors=5120.0
